id_X,region,x,y
5-5-15-1990,10,-0.693147181,4.688859468
5-5-15-1990,10,0,4.313824076
5-5-15-1990,10,0.693147181,3.743007726
5-5-15-1990,10,1.098612289,3.616400155
5-5-15-1990,10,1.386294361,3.614559921
5-5-15-1990,10,1.609437912,3.314113275
5-5-15-1990,10,1.791759469,2.812115879
5-5-15-1990,10,2.079441542,3.078873254
5-5-15-1990,10,2.302585093,2.958440499
5-5-21-1990,10,0.693147181,4.141972146
5-5-21-1990,10,2.302585093,2.387734738
5-5-21-1990,10,3.63758616,1.744196052
5-6-4-1990,10,0.693147181,2.749025784
5-6-4-1990,10,2.302585093,2.379638722
5-6-4-1990,10,3.63758616,2.02797718
5-6-19-1990,10,0.693147181,3.170626315
5-6-19-1990,10,2.302585093,1.583340313
5-6-19-1990,10,3.63758616,1.349085623
5-7-3-1990,10,0.693147181,3.28785323
5-7-3-1990,10,2.302585093,1.990692292
5-7-3-1990,10,3.63758616,0.493720156
5-7-18-1990,10,0.693147181,3.010142939
5-7-18-1990,10,2.302585093,2.313554706
5-7-18-1990,10,3.63758616,0.991472413
5-8-1-1990,10,0.693147181,2.586326913
5-8-1-1990,10,2.302585093,1.811856171
5-8-1-1990,10,3.63758616,1.262147368
5-8-31-1990,10,0,3.35819941
5-8-31-1990,10,0.693147181,3.655689718
5-8-31-1990,10,1.098612289,3.617149805
5-8-31-1990,10,1.386294361,3.699384087
5-8-31-1990,10,1.609437912,3.231345751
5-8-31-1990,10,1.791759469,2.804147949
5-8-31-1990,10,2.079441542,2.646642773
5-8-31-1990,10,2.302585093,3.120998352
5-8-31-1990,10,3.610917913,2.106485047
5-4-1-1992,10,-0.693147181,4.607593248
5-4-1-1992,10,0,3.977793892
5-4-1-1992,10,0.693147181,3.648075689
5-4-1-1992,10,1.098612289,3.308672652
5-4-1-1992,10,1.386294361,2.747373473
5-4-1-1992,10,1.609437912,2.556040561
5-4-1-1992,10,1.791759469,3.296129416
5-4-1-1992,10,2.079441542,2.685490978
5-4-1-1992,10,2.302585093,2.350841782
5-9-16-1992,10,0,3.627062559
5-9-16-1992,10,0.693147181,4.063888791
5-9-16-1992,10,1.098612289,3.613293467
5-9-16-1992,10,1.386294361,3.069377639
5-9-16-1992,10,1.609437912,2.960410749
5-9-16-1992,10,1.791759469,2.770148247
5-9-16-1992,10,2.079441542,2.787360333
5-9-16-1992,10,2.302585093,2.78528281
5-3-13-1993,10,0,3.973829047
5-3-13-1993,10,1.098612289,3.928937151
5-3-13-1993,10,1.609437912,3.476076009
5-5-21-1993,10,-0.693147181,4.986709338
5-5-21-1993,10,0,4.604554997
5-5-21-1993,10,0.693147181,4.571800562
5-5-21-1993,10,1.098612289,3.83580265
5-5-21-1993,10,1.386294361,3.771813363
5-5-21-1993,10,1.609437912,3.449724019
5-5-21-1993,10,1.791759469,3.22888952
5-5-21-1993,10,2.079441542,3.109806217
5-5-21-1993,10,2.302585093,3.155305368
5-6-27-1993,10,0.916290732,4.035793414
5-6-27-1993,10,2.140066163,2.013408571
5-6-27-1993,10,3.63758616,0.963288815
5-7-14-1993,10,0.916290732,3.525748573
5-7-14-1993,10,2.140066163,1.277817885
5-7-14-1993,10,3.63758616,0.622617414
5-7-31-1993,10,0.916290732,4.333453322
5-7-31-1993,10,2.140066163,2.223476948
5-7-31-1993,10,3.63758616,0.480201454
5-5-18-1994,10,-0.693147181,5.189985218
5-5-18-1994,10,0,4.230153775
5-5-18-1994,10,0.693147181,3.833618122
5-5-18-1994,10,1.098612289,3.677745198
5-5-18-1994,10,1.386294361,3.501721219
5-5-18-1994,10,1.609437912,3.67601962
5-5-18-1994,10,1.791759469,3.166099326
5-5-18-1994,10,2.079441542,2.162023331
5-5-18-1994,10,2.302585093,2.619554086
5-5-16-1995,10,-0.693147181,5.049396286
5-5-16-1995,10,0,4.259066314
5-5-16-1995,10,0.693147181,4.632726013
5-5-16-1995,10,1.098612289,4.37338692
5-5-16-1995,10,1.386294361,3.912294968
5-5-16-1995,10,1.609437912,4.0612358
5-5-16-1995,10,1.791759469,3.963924515
5-5-16-1995,10,2.079441542,3.883518587
5-5-16-1995,10,2.302585093,3.262624732
5-9-2-1995,10,-0.693147181,4.34194395
5-9-2-1995,10,0,3.708147625
5-9-2-1995,10,0.693147181,3.654614043
5-9-2-1995,10,1.098612289,4.088728823
5-9-2-1995,10,1.386294361,3.381011681
5-9-2-1995,10,1.609437912,3.367492362
5-9-2-1995,10,1.791759469,3.613730171
5-9-2-1995,10,2.197224577,3.378399473
5-9-2-1995,10,2.302585093,3.17510365
5-2-28-1996,10,-0.693147181,4.695260402
5-2-28-1996,10,0,4.498074833
5-2-28-1996,10,0.693147181,3.930033832
5-2-28-1996,10,1.098612289,3.494253508
5-2-28-1996,10,1.386294361,3.01901902
5-2-28-1996,10,1.609437912,2.878490341
5-2-28-1996,10,1.791759469,2.726021086
5-2-28-1996,10,2.079441542,2.168813672
5-2-28-1996,10,2.302585093,2.272125886
5-5-15-1996,10,-0.693147181,3.433987204
5-5-15-1996,10,0,2.63905733
5-5-15-1996,10,0.405465108,2.261763098
5-5-15-1996,10,0.693147181,2.116255515
5-5-18-1996,10,-0.693147181,3.658363544
5-5-18-1996,10,0,4.201420106
5-5-18-1996,10,0.693147181,3.905105132
5-5-18-1996,10,1.098612289,3.904097683
5-5-18-1996,10,1.386294361,3.480362782
5-5-18-1996,10,1.609437912,2.961885893
5-5-18-1996,10,1.791759469,2.719609797
5-5-18-1996,10,2.079441542,2.807949833
5-5-18-1996,10,2.302585093,2.102193248
5-5-21-1996,10,0.845868268,3.80017035
5-5-21-1996,10,2.311544834,1.893187262
5-5-21-1996,10,3.638901084,0.538246219
5-6-7-1996,10,0.845868268,3.853815335
5-6-7-1996,10,2.311544834,2.625146739
5-6-7-1996,10,3.638901084,2.132283012
5-6-24-1996,10,0.845868268,3.891118011
5-6-24-1996,10,2.311544834,1.610217608
5-6-24-1996,10,3.638901084,1.805021143
5-7-11-1996,10,0.845868268,4.344188465
5-7-11-1996,10,2.311544834,0.550661532
5-7-11-1996,10,3.638901084,-0.001501126
5-7-28-1996,10,0.845868268,3.75419892
5-7-28-1996,10,2.311544834,1.693153865
5-7-28-1996,10,3.638901084,-0.092005646
5-8-14-1996,10,0.845868268,3.307589752
5-8-14-1996,10,2.311544834,2.47875443
5-8-14-1996,10,3.638901084,1.268945606
5-8-15-1996,10,-0.693147181,4.574710979
5-8-15-1996,10,0,3.583518938
5-8-15-1996,10,0.405465108,3.433987204
5-8-15-1996,10,0.693147181,3.091042453
5-8-26-1996,10,-0.693147181,4.764789315
5-8-26-1996,10,0,4.579357897
5-8-26-1996,10,0.693147181,4.198653525
5-8-26-1996,10,1.098612289,3.44687477
5-8-26-1996,10,1.386294361,3.211553079
5-8-26-1996,10,1.609437912,3.328856053
5-8-26-1996,10,1.791759469,3.06871783
5-8-26-1996,10,2.079441542,2.6790058
5-8-26-1996,10,2.302585093,2.73273631
5-8-31-1996,10,0.845868268,2.31687254
5-8-31-1996,10,2.311544834,1.431960603
5-8-31-1996,10,3.638901084,1.452854275
5-9-17-1996,10,0.845868268,3.285951126
5-9-17-1996,10,2.311544834,1.137961199
5-9-17-1996,10,3.638901084,0.782256356
5-10-4-1996,10,0.845868268,3.160551555
5-10-4-1996,10,2.311544834,0.80079009
5-10-4-1996,10,3.638901084,0.630846154
5-10-21-1996,10,0.845868268,2.005310492
5-10-21-1996,10,2.311544834,-0.042803122
5-10-21-1996,10,3.638901084,0.748534583
5-11-7-1996,10,0.845868268,2.025565969
5-11-7-1996,10,2.311544834,0.106969221
5-11-7-1996,10,3.638901084,0.430547888
5-11-24-1996,10,0.845868268,1.337182895
5-11-24-1996,10,2.311544834,0.621382614
5-11-24-1996,10,3.638901084,0.031014054
5-12-11-1996,10,0.845868268,1.778285772
5-12-11-1996,10,2.311544834,0.405065028
5-12-11-1996,10,3.638901084,-0.175544573
5-12-28-1996,10,0.845868268,1.366907647
5-12-28-1996,10,2.311544834,-0.475941222
5-12-28-1996,10,3.638901084,-0.27089051
5-1-14-1997,10,0.845868268,1.445906706
5-1-14-1997,10,2.311544834,0.54075329
5-1-14-1997,10,3.638901084,-0.945719543
5-1-31-1997,10,0.845868268,1.252677251
5-1-31-1997,10,2.311544834,0.602620541
5-1-31-1997,10,3.638901084,-1.087375657
5-2-17-1997,10,0.845868268,2.145205874
5-2-17-1997,10,2.311544834,-1.570217199
5-2-17-1997,10,3.638901084,-1.453717037
5-3-6-1997,10,0.845868268,2.911317522
5-3-6-1997,10,2.311544834,-1.026384655
5-3-6-1997,10,3.638901084,-1.68848112
5-3-23-1997,10,0.845868268,2.174274335
5-3-23-1997,10,2.311544834,-1.185478222
5-3-23-1997,10,3.638901084,-2.042531188
5-4-9-1997,10,0.845868268,3.006053823
5-4-9-1997,10,2.311544834,0.099754833
5-4-9-1997,10,3.638901084,-1.544118446
5-4-26-1997,10,0.845868268,3.05313288
5-4-26-1997,10,2.311544834,0.67207675
5-4-26-1997,10,3.638901084,-0.228910146
5-6-14-1997,10,0,4.517070945
5-6-14-1997,10,0.693147181,3.921533636
5-6-14-1997,10,1.098612289,3.534894594
5-6-14-1997,10,1.386294361,3.319915017
5-6-14-1997,10,1.609437912,3.519827466
5-6-14-1997,10,1.791759469,3.158718094
5-6-14-1997,10,2.079441542,2.950970236
5-6-14-1997,10,2.302585093,3.000421263
5-2-26-1998,10,0,4.236153683
5-2-26-1998,10,0.693147181,3.413909572
5-2-26-1998,10,1.098612289,3.445858398
5-2-26-1998,10,1.386294361,3.272079094
5-2-26-1998,10,1.609437912,3.505290094
5-2-26-1998,10,1.791759469,3.022646806
5-2-26-1998,10,2.079441542,2.581866982
5-2-26-1998,10,2.302585093,2.878670228
5-6-11-1998,10,0,4.649409056
5-6-11-1998,10,0.693147181,3.375766747
5-6-11-1998,10,1.098612289,3.206033717
5-6-11-1998,10,1.386294361,3.007991817
5-6-11-1998,10,1.609437912,2.790201453
5-6-11-1998,10,1.791759469,2.888892887
5-6-11-1998,10,2.079441542,2.704035486
5-6-11-1998,10,2.302585093,2.58503852
